name,old_instrs,new_instrs,instr_delta,old_gas,new_gas,gas_delta,old_bytes,new_bytes,bytes_delta,notes,compile_baseline_us,compile_optimized_us
name,old_instrs,new_instrs,instr_delta,old_gas,new_gas,gas_delta,old_bytes,new_bytes,bytes_delta,notes,compile_baseline_us,compile_optimized_us
constant_fold_heavy,25,2,-23,108,7,-101,145,77,-68,instrΔ=-23 ✓ gasΔ=-101 ✓ bytesΔ=-68 ✓,114,176
arithmetic_chain,32,22,-10,135,108,-27,183,146,-37,instrΔ=-10 ✓ gasΔ=-27 ✓ bytesΔ=-37 ✓,44,1691
conditional_logic,33,28,-5,144,141,-3,193,189,-4,instrΔ=-5 ✓ gasΔ=-3 ✓ bytesΔ=-4 ✓,39,4922
dead_code_sample,21,7,-14,93,48,-45,127,65,-62,instrΔ=-14 ✓ gasΔ=-45 ✓ bytesΔ=-62 ✓,22,71
copy_chain,12,7,-5,63,48,-15,85,65,-20,instrΔ=-5 ✓ gasΔ=-15 ✓ bytesΔ=-20 ✓,13,67
peephole_targets,24,7,-17,108,48,-60,147,65,-82,instrΔ=-17 ✓ gasΔ=-60 ✓ bytesΔ=-82 ✓,20,76
simple_function,18,14,-4,87,81,-6,117,108,-9,instrΔ=-4 ✓ gasΔ=-6 ✓ bytesΔ=-9 ✓,15,424
multi_function,37,25,-12,156,129,-27,210,173,-37,instrΔ=-12 ✓ gasΔ=-27 ✓ bytesΔ=-37 ✓,34,1123
